"Symbol";"Value";"Unit";
"TraceParts.PartNumber";"90-16042024-020212";"";
"REFERENCE";"2216100001";"";
"TraceParts.PartTitle";"USB 3.2 Gen 1";"";
"TraceParts.InstanceId";"90-16042024-0202122N3XX9WWY2MK673V115V3T3RA";"";
"SUPPLIER";"Molex";"";
"DESIGN";"Universal Serial Bus (USB) Shielded I/O Receptacle, Type C, Right-Angle,  Top Mount, Surface Mount, 24 Circuits, Gold (Au) Flash Plating";"";
"TRACEPARTS";"TRACEPARTS";"";
"TraceParts.PartLanguage";"en";"";
"TraceParts.PartVersion";"1.0.3";"";
