"Symbol";"Value";"Unit";
"TraceParts.PartNumber";"90-15082024-044584";"";
"REFERENCE";"301105040050";"";
"TraceParts.PartTitle";"Female To Female Standoff";"";
"TraceParts.InstanceId";"90-15082024-0445847E5HPBAG934887MUJMN1NXQ15";"";
"SUPPLIER";"Essentra Components";"";
"DESIGN";"Female To Female Standoff Hexagonal 4.0 mm M2 5.0 mm";"";
"TRACEPARTS";"TRACEPARTS";"";
"TraceParts.PartLanguage";"en";"";
"TraceParts.PartVersion";"1.0.1";"";
