"Symbol";"Value";"Unit";
"TraceParts.PartNumber";"90-25082022-034872";"";
"REFERENCE";"IHLP2525EZER1R0M01";"";
"TraceParts.PartTitle";"Vishay IHLP-2525EZ-01 Series Type 2225 (5664M) Shielded Wire-wound SMD Inductor with a Metal Composite Core, 1 μH ±20%";"";
"TraceParts.InstanceId";"90-25082022-0348722N3XX9WWY2MK673V115V3T3RA";"";
"SUPPLIER";"VISHAY";"";
"DESIGN";"Vishay IHLP-2525EZ-01 Series Type 2225 (5664M) Shielded Wire-wound SMD Inductor with a Metal Composite Core, 1 μH ±20%";"";
"TRACEPARTS";"TRACEPARTS";"";
"TraceParts.PartLanguage";"en";"";
"TraceParts.PartVersion";"1.0.0";"";
